Date,Open,High,Low,Close,Adj Close,Volume
21-11-2022,241.429993,244.669998,241.190002,242.050003,240.409592,26394700
22-11-2022,243.589996,245.309998,240.710007,245.029999,243.369385,19665700
23-11-2022,245.110001,248.279999,244.270004,247.580002,245.902115,19508500
25-11-2022,247.309998,248.699997,246.729996,247.490005,245.812714,9200800
28-11-2022,246.080002,246.649994,240.800003,241.759995,240.121552,24778200
29-11-2022,241.399994,242.789993,238.210007,240.330002,238.701263,17956300
30-11-2022,240.570007,255.330002,239.860001,255.139999,253.410873,47594200
01-12-2022,253.869995,256.119995,250.919998,254.690002,252.963913,26041500
02-12-2022,249.820007,256.059998,249.690002,255.020004,253.291702,21528500
05-12-2022,252.009995,253.820007,248.059998,250.199997,248.504349,23435300
06-12-2022,250.820007,251.860001,243.779999,245.119995,243.458771,22463700
07-12-2022,244.830002,246.160004,242.210007,244.369995,242.713852,20481500
08-12-2022,244.839996,248.740005,243.059998,247.399994,245.723328,22611800
09-12-2022,244.699997,248.309998,244.160004,245.419998,243.75676,20609700
12-12-2022,247.449997,252.539993,247.169998,252.509995,250.798691,30665100
13-12-2022,261.690002,263.920013,253.070007,256.920013,255.178818,42196900
14-12-2022,257.130005,262.589996,254.309998,257.220001,255.476807,35410900
15-12-2022,253.720001,254.199997,247.339996,249.009995,247.322403,35560400
16-12-2022,248.550003,249.839996,243.509995,244.690002,243.031708,86102000
19-12-2022,244.860001,245.210007,238.710007,240.449997,238.820435,29696400
20-12-2022,239.399994,242.910004,238.419998,241.800003,240.161285,25150800
21-12-2022,241.690002,245.619995,240.110001,244.429993,242.773453,23690600
22-12-2022,241.259995,241.990005,233.869995,238.190002,236.575745,28651700
23-12-2022,236.110001,238.869995,233.940002,238.729996,237.112076,21207000
27-12-2022,238.699997,238.929993,235.830002,236.960007,235.35408,16688600
28-12-2022,236.889999,239.720001,234.169998,234.529999,232.940552,17457100
29-12-2022,235.649994,241.919998,235.649994,241.009995,239.376648,19770700
30-12-2022,238.210007,239.960007,236.660004,239.820007,238.194702,21938500
03-01-2023,243.080002,245.75,237.399994,239.580002,237.956345,25740000
04-01-2023,232.279999,232.869995,225.960007,229.100006,227.547363,50623400
05-01-2023,227.199997,227.550003,221.759995,222.309998,220.80336,39585600
06-01-2023,223,225.759995,219.350006,224.929993,223.405594,43613600
09-01-2023,226.449997,231.240005,226.410004,227.119995,225.580765,27369800
